,director_name,genres,movie_title,ratings,actors,combine
436,Tom Shadyac,Comedy Drama,bruce almighty,6.7,Morgan Freeman Steve Carell Lisa Ann Walter,Tom Shadyac Comedy Drama bruce almighty Morgan Freeman Steve Carell Lisa Ann Walter
437,Sylvester Stallone,Action Adventure Thriller,the expendables,6.5,Jason Statham Sylvester Stallone Jet Li,Sylvester Stallone Action Adventure Thriller the expendables Jason Statham Sylvester Stallone Jet Li
438,Brian De Palma,Action Adventure Thriller,mission: impossible,7.1,Tom Cruise Kristin Scott Thomas Vanessa Redgrave,Brian De Palma Action Adventure Thriller mission: impossible Tom Cruise Kristin Scott Thomas Vanessa Redgrave
439,Gary Ross,Adventure Drama Sci-Fi Thriller,the hunger games,7.3,Jennifer Lawrence Josh Hutcherson Anthony Reynolds,Gary Ross Adventure Drama Sci-Fi Thriller the hunger games Jennifer Lawrence Josh Hutcherson Anthony Reynolds
440,Todd Phillips,Comedy,the hangover part ii,6.5,Bradley Cooper Mason Lee Mike Tyson,Todd Phillips Comedy the hangover part ii Bradley Cooper Mason Lee Mike Tyson
441,Tim Burton,Action,batman returns,7.0,Michael Gough Vincent Schiavelli Andrew Bryniarski,Tim Burton Action batman returns Michael Gough Vincent Schiavelli Andrew Bryniarski
442,Tim Johnson,Adventure Animation Comedy Family,over the hedge,6.8,Bruce Willis Steve Carell Catherine O'Hara,Tim Johnson Adventure Animation Comedy Family over the hedge Bruce Willis Steve Carell Catherine O'Hara
443,Dean DeBlois,Adventure Animation Comedy Drama Family Fantasy Sci-Fi,lilo & stitch,7.2,Tia Carrere Jason Scott Lee David Ogden Stiers,Dean DeBlois Adventure Animation Comedy Drama Family Fantasy Sci-Fi lilo & stitch Tia Carrere Jason Scott Lee David Ogden Stiers
444,Gary Winick,Comedy Family Fantasy,charlotte's web,6.4,Steve Buscemi Julia Roberts Oprah Winfrey,Gary Winick Comedy Family Fantasy charlotte's web Steve Buscemi Julia Roberts Oprah Winfrey
445,Mimi Leder,Action Drama Romance Sci-Fi Thriller,deep impact,6.1,Morgan Freeman Jon Favreau Robert Duvall,Mimi Leder Action Drama Romance Sci-Fi Thriller deep impact Morgan Freeman Jon Favreau Robert Duvall
446,Dean Parisot,Action Comedy Crime Thriller,red 2,6.7,Bruce Willis Anthony Hopkins Garrick Hagon,Dean Parisot Action Comedy Crime Thriller red 2 Bruce Willis Anthony Hopkins Garrick Hagon
447,Peter Segal,Comedy Crime Sport,the longest yard,6.4,Adam Sandler Steve Reevis Dalip Singh,Peter Segal Comedy Crime Sport the longest yard Adam Sandler Steve Reevis Dalip Singh
448,Mike Mitchell,Adventure Animation Comedy Family Fantasy Music,alvin and the chipmunks: chipwrecked,4.4,Amy Poehler Jesse McCartney Lauren Gottlieb,Mike Mitchell Adventure Animation Comedy Family Fantasy Music alvin and the chipmunks: chipwrecked Amy Poehler Jesse McCartney Lauren Gottlieb
449,Dennis Dugan,Comedy,grown ups 2,5.4,Steve Buscemi Adam Sandler Jon Lovitz,Dennis Dugan Comedy grown ups 2 Steve Buscemi Adam Sandler Jon Lovitz
450,Peter Segal,Action Adventure Comedy,get smart,6.5,Bill Murray Dwayne Johnson Anne Hathaway,Peter Segal Action Adventure Comedy get smart Bill Murray Dwayne Johnson Anne Hathaway
451,Nancy Meyers,Comedy Drama Romance,something's gotta give,6.7,Keanu Reeves Jon Favreau Paul Michael Glaser,Nancy Meyers Comedy Drama Romance something's gotta give Keanu Reeves Jon Favreau Paul Michael Glaser
452,Martin Scorsese,Mystery Thriller,shutter island,8.1,Leonardo DiCaprio Joseph Sikora Nellie Sciutto,Martin Scorsese Mystery Thriller shutter island Leonardo DiCaprio Joseph Sikora Nellie Sciutto
453,Seth Gordon,Comedy Drama Romance,four christmases,5.6,Jon Favreau Robert Duvall Katy Mixon,Seth Gordon Comedy Drama Romance four christmases Jon Favreau Robert Duvall Katy Mixon
454,Chris Wedge,Adventure Animation Comedy Family Sci-Fi,robots,6.3,Jim Broadbent Drew Carey Paula Abdul,Chris Wedge Adventure Animation Comedy Family Sci-Fi robots Jim Broadbent Drew Carey Paula Abdul
455,John Woo,Action Crime Sci-Fi Thriller,face/off,7.3,Nicolas Cage CCH Pounder Joan Allen,John Woo Action Crime Sci-Fi Thriller face/off Nicolas Cage CCH Pounder Joan Allen
456,Adam Shankman,Comedy Family Fantasy Romance,bedtime stories,6.1,Adam Sandler Carmen Electra Kathryn Joosten,Adam Shankman Comedy Family Fantasy Romance bedtime stories Adam Sandler Carmen Electra Kathryn Joosten
457,Sam Mendes,Crime Drama Thriller,road to perdition,7.7,Tom Hanks Jennifer Jason Leigh Liam Aiken,Sam Mendes Crime Drama Thriller road to perdition Tom Hanks Jennifer Jason Leigh Liam Aiken
458,Dennis Dugan,Comedy Romance,just go with it,6.4,Adam Sandler Bailee Madison Kevin Nealon,Dennis Dugan Comedy Romance just go with it Adam Sandler Bailee Madison Kevin Nealon
459,Unknown,Action Adventure Crime Drama Sci-Fi Thriller,daredevil            ,8.8,Elden Henson Royce Johnson Charlie Cox,Unknown Action Adventure Crime Drama Sci-Fi Thriller daredevil             Elden Henson Royce Johnson Charlie Cox
460,Simon West,Action Crime Thriller,con air,6.8,Steve Buscemi Monica Potter Dave Chappelle,Simon West Action Crime Thriller con air Steve Buscemi Monica Potter Dave Chappelle
461,D.J. Caruso,Action Mystery Thriller,eagle eye,6.6,Rosario Dawson Ethan Embry Cameron Boyce,D.J. Caruso Action Mystery Thriller eagle eye Rosario Dawson Ethan Embry Cameron Boyce
462,Anthony Minghella,Adventure Drama History Romance War,cold mountain,7.2,Philip Seymour Hoffman Natalie Portman Charlie Hunnam,Anthony Minghella Adventure Drama History Romance War cold mountain Philip Seymour Hoffman Natalie Portman Charlie Hunnam
463,Albert Hughes,Action Adventure Drama Thriller,the book of eli,6.9,Denzel Washington Mila Kunis Gary Oldman,Albert Hughes Action Adventure Drama Thriller the book of eli Denzel Washington Mila Kunis Gary Oldman
464,Les Mayfield,Comedy Family Sci-Fi,flubber,5.2,Robin Williams Jodi Benson Sam Lloyd,Les Mayfield Comedy Family Sci-Fi flubber Robin Williams Jodi Benson Sam Lloyd
465,Jan de Bont,Fantasy Horror Mystery Thriller,the haunting,4.9,Liam Neeson Lili Taylor Virginia Madsen,Jan de Bont Fantasy Horror Mystery Thriller the haunting Liam Neeson Lili Taylor Virginia Madsen
466,Joe Pytka,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,space jam,6.3,Bill Murray Wayne Knight Michael Jordan,Joe Pytka Adventure Animation Comedy Family Fantasy Sci-Fi Sport space jam Bill Murray Wayne Knight Michael Jordan
467,Shawn Levy,Adventure Comedy Crime Family Mystery,the pink panther,5.6,Roger Rees Henry Czerny William Abadie,Shawn Levy Adventure Comedy Crime Family Mystery the pink panther Roger Rees Henry Czerny William Abadie
469,Richard Donner,Action Crime Mystery Romance Thriller,conspiracy theory,6.7,Julia Roberts Alex McArthur Michael Potts,Richard Donner Action Crime Mystery Romance Thriller conspiracy theory Julia Roberts Alex McArthur Michael Potts
470,David Ayer,Action Drama War,fury,7.6,Brad Pitt Logan Lerman Jim Parrack,David Ayer Action Drama War fury Brad Pitt Logan Lerman Jim Parrack
471,Ivan Reitman,Action Adventure Comedy Romance,six days seven nights,5.7,Harrison Ford Anne Heche Amy Sedaris,Ivan Reitman Action Adventure Comedy Romance six days seven nights Harrison Ford Anne Heche Amy Sedaris
472,Eric Brevig,Adventure Animation Comedy Family,yogi bear,4.6,Justin Timberlake Tom Cavanagh Josh Robert Thompson,Eric Brevig Adventure Animation Comedy Family yogi bear Justin Timberlake Tom Cavanagh Josh Robert Thompson
473,Kelly Asbury,Adventure Animation Family Western,spirit: stallion of the cimarron,7.0,Matt Damon Charles Napier Zahn McClarnon,Kelly Asbury Adventure Animation Family Western spirit: stallion of the cimarron Matt Damon Charles Napier Zahn McClarnon
474,Frank Coraci,Comedy Family Romance,zookeeper,5.2,Rosario Dawson Leslie Bibb Nicholas Turturro,Frank Coraci Comedy Family Romance zookeeper Rosario Dawson Leslie Bibb Nicholas Turturro
475,Stephen Hopkins,Action Adventure Family Sci-Fi Thriller,lost in space,5.1,Gary Oldman William Hurt June Lockhart,Stephen Hopkins Action Adventure Family Sci-Fi Thriller lost in space Gary Oldman William Hurt June Lockhart
476,Jonathan Demme,Drama Mystery Sci-Fi Thriller,the manchurian candidate,6.6,Denzel Washington Dorian Missick Jose Pablo Cantillo,Jonathan Demme Drama Mystery Sci-Fi Thriller the manchurian candidate Denzel Washington Dorian Missick Jose Pablo Cantillo
477,Henry Jaglom,Drama Romance,déjà vu,7.0,Vanessa Redgrave Stephen Dillane Michael Brandon,Henry Jaglom Drama Romance déjà vu Vanessa Redgrave Stephen Dillane Michael Brandon
478,Genndy Tartakovsky,Animation Comedy Family Fantasy,hotel transylvania 2,6.7,Steve Buscemi Adam Sandler Fran Drescher,Genndy Tartakovsky Animation Comedy Family Fantasy hotel transylvania 2 Steve Buscemi Adam Sandler Fran Drescher
479,Unknown,Comedy Family Fantasy,bewitched            ,7.6,Elizabeth Montgomery Agnes Moorehead Dick York,Unknown Comedy Family Fantasy bewitched             Elizabeth Montgomery Agnes Moorehead Dick York
480,James Algar,Animation Family Fantasy Music,fantasia 2000,7.3,Quincy Jones Penn Jillette Russi Taylor,James Algar Animation Family Fantasy Music fantasia 2000 Quincy Jones Penn Jillette Russi Taylor
481,Simon Wells,Action Adventure Sci-Fi,the time machine,5.9,Mark Addy Alan Young Josh Stamberg,Simon Wells Action Adventure Sci-Fi the time machine Mark Addy Alan Young Josh Stamberg
482,Ron Underwood,Action Adventure Family Fantasy Thriller,mighty joe young,5.6,Charlize Theron Mika Boorem David Paymer,Ron Underwood Action Adventure Family Fantasy Thriller mighty joe young Charlize Theron Mika Boorem David Paymer
483,Dominic Sena,Action Crime Thriller,swordfish,6.5,Hugh Jackman Don Cheadle Sam Shepard,Dominic Sena Action Crime Thriller swordfish Hugh Jackman Don Cheadle Sam Shepard
484,Martin Campbell,Action Adventure Western,the legend of zorro,5.9,Michael Emerson Nick Chinlund Adrian Alonso,Martin Campbell Action Adventure Western the legend of zorro Michael Emerson Nick Chinlund Adrian Alonso
485,Vincent Ward,Drama Fantasy Romance,what dreams may come,7.0,Robin Williams Annabella Sciorra Rosalind Chao,Vincent Ward Drama Fantasy Romance what dreams may come Robin Williams Annabella Sciorra Rosalind Chao
486,Steven Brill,Comedy Fantasy,little nicky,5.3,Adam Sandler Jon Lovitz Michael McKean,Steven Brill Comedy Fantasy little nicky Adam Sandler Jon Lovitz Michael McKean
487,Terry Gilliam,Action Adventure Comedy Fantasy Thriller,the brothers grimm,5.9,Matt Damon Heath Ledger Mackenzie Crook,Terry Gilliam Action Adventure Comedy Fantasy Thriller the brothers grimm Matt Damon Heath Ledger Mackenzie Crook
488,Tim Burton,Action Comedy Sci-Fi,mars attacks!,6.3,Natalie Portman Martin Short Lukas Haas,Tim Burton Action Comedy Sci-Fi mars attacks! Natalie Portman Martin Short Lukas Haas
489,Lucile Hadzihalilovic,Drama Horror Mystery Sci-Fi,evolution,6.4,Nissim Renard Roxane Duran Julie-Marie Parmentier,Lucile Hadzihalilovic Drama Horror Mystery Sci-Fi evolution Nissim Renard Roxane Duran Julie-Marie Parmentier
490,Lee Tamahori,Action Adventure Drama Thriller,the edge,6.9,Anthony Hopkins Harold Perrineau Bart the Bear,Lee Tamahori Action Adventure Drama Thriller the edge Anthony Hopkins Harold Perrineau Bart the Bear
491,Jonathan Mostow,Action Sci-Fi Thriller,surrogates,6.3,Bruce Willis Devin Ratray Boris Kodjoe,Jonathan Mostow Action Sci-Fi Thriller surrogates Bruce Willis Devin Ratray Boris Kodjoe
492,Roger Donaldson,Drama History Thriller,thirteen days,7.3,Bruce Greenwood Jon Foster Bruce Thomas,Roger Donaldson Drama History Thriller thirteen days Bruce Greenwood Jon Foster Bruce Thomas
493,Rob Cohen,Action Adventure Drama Thriller,daylight,5.8,Sylvester Stallone Viggo Mortensen Amy Brenneman,Rob Cohen Action Adventure Drama Thriller daylight Sylvester Stallone Viggo Mortensen Amy Brenneman
494,Barry Cook,Adventure Animation Family,walking with dinosaurs 3d,5.2,Charlie Rowe Tiya Sircar Madison Rothschild,Barry Cook Adventure Animation Family walking with dinosaurs 3d Charlie Rowe Tiya Sircar Madison Rothschild
495,Roger Christian,Action Adventure Sci-Fi,battlefield earth,2.4,Richard Tyson Michael Byrne John Topor,Roger Christian Action Adventure Sci-Fi battlefield earth Richard Tyson Michael Byrne John Topor
496,Joe Dante,Adventure Animation Comedy Family Fantasy Sci-Fi,looney tunes: back in action,5.7,Brendan Fraser Jenna Elfman Heather Locklear,Joe Dante Adventure Animation Comedy Family Fantasy Sci-Fi looney tunes: back in action Brendan Fraser Jenna Elfman Heather Locklear
497,Rob Marshall,Drama Musical Romance,nine,5.8,Fergie Elio Germano Andrea Di Stefano,Rob Marshall Drama Musical Romance nine Fergie Elio Germano Andrea Di Stefano
498,Richard Donner,Action Adventure Sci-Fi,timeline,5.6,Paul Walker Gerard Butler Ethan Embry,Richard Donner Action Adventure Sci-Fi timeline Paul Walker Gerard Butler Ethan Embry
499,Kevin Costner,Action Adventure Drama Sci-Fi,the postman,6.0,Olivia Williams Brian Anthony Wilson Larenz Tate,Kevin Costner Action Adventure Drama Sci-Fi the postman Olivia Williams Brian Anthony Wilson Larenz Tate
500,George Miller,Adventure Comedy Drama Family Fantasy,babe: pig in the city,5.8,Adam Goldberg Elizabeth Daily Glenne Headly,George Miller Adventure Comedy Drama Family Fantasy babe: pig in the city Adam Goldberg Elizabeth Daily Glenne Headly
501,Breck Eisner,Action Adventure Fantasy,the last witch hunter,6.0,Vin Diesel Joseph Gilgun Lotte Verbeek,Breck Eisner Action Adventure Fantasy the last witch hunter Vin Diesel Joseph Gilgun Lotte Verbeek
502,Antony Hoffman,Action Sci-Fi Thriller,red planet,5.7,Bob Neill Val Kilmer Tom Sizemore,Antony Hoffman Action Sci-Fi Thriller red planet Bob Neill Val Kilmer Tom Sizemore
503,Luc Besson,Adventure Animation Family Fantasy,arthur and the invisibles,6.0,Mia Farrow Adam LeFevre Penny Balfour,Luc Besson Adventure Animation Family Fantasy arthur and the invisibles Mia Farrow Adam LeFevre Penny Balfour
504,Jacques Perrin,Documentary Drama,oceans,7.8,Pedro Armendáriz Jr. Jacques Perrin Rie Miyazawa,Jacques Perrin Documentary Drama oceans Pedro Armendáriz Jr. Jacques Perrin Rie Miyazawa
505,Peter Hyams,Action Adventure Horror Sci-Fi Thriller,a sound of thunder,4.2,David Oyelowo Catherine McCormack Jemima Rooper,Peter Hyams Action Adventure Horror Sci-Fi Thriller a sound of thunder David Oyelowo Catherine McCormack Jemima Rooper
506,Paul W.S. Anderson,Action Adventure Drama History Romance,pompeii,5.6,Sasha Roiz Currie Graham Dylan Schombing,Paul W.S. Anderson Action Adventure Drama History Romance pompeii Sasha Roiz Currie Graham Dylan Schombing
507,Andrés Couturier,Animation Family,top cat begins,4.4,Sariann Monaco David Hoffman Ben Diskin,Andrés Couturier Animation Family top cat begins Sariann Monaco David Hoffman Ben Diskin
508,Ron Howard,Biography Drama,a beautiful mind,8.2,Adam Goldberg Austin Pendleton Judd Hirsch,Ron Howard Biography Drama a beautiful mind Adam Goldberg Austin Pendleton Judd Hirsch
509,Roger Allers,Adventure Animation Drama Family Musical,the lion king,8.5,Matthew Broderick Nathan Lane Niketa Calame,Roger Allers Adventure Animation Drama Family Musical the lion king Matthew Broderick Nathan Lane Niketa Calame
510,Brad Peyton,Action Adventure Comedy Family Fantasy Sci-Fi,journey 2: the mysterious island,5.8,Josh Hutcherson Dwayne Johnson Kristin Davis,Brad Peyton Action Adventure Comedy Family Fantasy Sci-Fi journey 2: the mysterious island Josh Hutcherson Dwayne Johnson Kristin Davis
511,Cody Cameron,Animation Comedy Family Fantasy Sci-Fi,cloudy with a chance of meatballs 2,6.5,Will Forte Khamani Griffin Melissa Sturm,Cody Cameron Animation Comedy Family Fantasy Sci-Fi cloudy with a chance of meatballs 2 Will Forte Khamani Griffin Melissa Sturm
512,Brett Ratner,Crime Drama Thriller,red dragon,7.2,Philip Seymour Hoffman Anthony Hopkins Emily Watson,Brett Ratner Crime Drama Thriller red dragon Philip Seymour Hoffman Anthony Hopkins Emily Watson
513,Joe Johnston,Action Adventure Western,hidalgo,6.7,J.K. Simmons Viggo Mortensen Peter Mensah,Joe Johnston Action Adventure Western hidalgo J.K. Simmons Viggo Mortensen Peter Mensah
514,Dennis Dugan,Comedy,jack and jill,3.4,Al Pacino Adam Sandler Tim Meadows,Dennis Dugan Comedy jack and jill Al Pacino Adam Sandler Tim Meadows
515,John Singleton,Action Crime Thriller,2 fast 2 furious,5.9,Paul Walker Cole Hauser Mo Gallini,John Singleton Action Crime Thriller 2 fast 2 furious Paul Walker Cole Hauser Mo Gallini
516,Mark Osborne,Adventure Animation Drama Family Fantasy,the little prince,7.8,Jeff Bridges James Franco Mackenzie Foy,Mark Osborne Adventure Animation Drama Family Fantasy the little prince Jeff Bridges James Franco Mackenzie Foy
517,Oliver Hirschbiegel,Sci-Fi Thriller,the invasion,5.9,Roger Rees Veronica Cartwright Jeremy Northam,Oliver Hirschbiegel Sci-Fi Thriller the invasion Roger Rees Veronica Cartwright Jeremy Northam
518,Des McAnuff,Adventure Animation Comedy Family Fantasy,the adventures of rocky & bullwinkle,4.1,Robert De Niro Janeane Garofalo Jonathan Winters,Des McAnuff Adventure Animation Comedy Family Fantasy the adventures of rocky & bullwinkle Robert De Niro Janeane Garofalo Jonathan Winters
519,Yarrow Cheney,Animation Comedy Family,the secret life of pets,6.8,Steve Coogan Eric Stonestreet Albert Brooks,Yarrow Cheney Animation Comedy Family the secret life of pets Steve Coogan Eric Stonestreet Albert Brooks
520,Stephen Norrington,Action Adventure Fantasy Sci-Fi,the league of extraordinary gentlemen,5.8,Jason Flemyng Max Ryan Tony Curran,Stephen Norrington Action Adventure Fantasy Sci-Fi the league of extraordinary gentlemen Jason Flemyng Max Ryan Tony Curran
521,Pierre Coffin,Animation Comedy Family Sci-Fi,despicable me 2,7.5,Steve Carell Miranda Cosgrove Steve Coogan,Pierre Coffin Animation Comedy Family Sci-Fi despicable me 2 Steve Carell Miranda Cosgrove Steve Coogan
522,Roland Emmerich,Action Adventure Sci-Fi,independence day,6.9,Will Smith Adam Baldwin Mary McDonnell,Roland Emmerich Action Adventure Sci-Fi independence day Will Smith Adam Baldwin Mary McDonnell
523,Steven Spielberg,Action Adventure Sci-Fi,the lost world: jurassic park,6.5,Ariana Richards Richard Schiff Vanessa Lee Chester,Steven Spielberg Action Adventure Sci-Fi the lost world: jurassic park Ariana Richards Richard Schiff Vanessa Lee Chester
524,Eric Darnell,Adventure Animation Comedy Family,madagascar,6.9,Jada Pinkett Smith Cedric the Entertainer Andy Richter,Eric Darnell Adventure Animation Comedy Family madagascar Jada Pinkett Smith Cedric the Entertainer Andy Richter
525,Alfonso Cuarón,Drama Sci-Fi Thriller,children of men,7.9,Charlie Hunnam Danny Huston Rita Davies,Alfonso Cuarón Drama Sci-Fi Thriller children of men Charlie Hunnam Danny Huston Rita Davies
526,Bryan Singer,Action Adventure Sci-Fi,x-men,7.4,Hugh Jackman Tyler Mane Bruce Davison,Bryan Singer Action Adventure Sci-Fi x-men Hugh Jackman Tyler Mane Bruce Davison
527,Timur Bekmambetov,Action Crime Fantasy Thriller,wanted,6.7,Angelina Jolie Pitt Morgan Freeman Common,Timur Bekmambetov Action Crime Fantasy Thriller wanted Angelina Jolie Pitt Morgan Freeman Common
528,Michael Bay,Action Adventure Thriller,the rock,7.4,Nicolas Cage Michael Biehn Bokeem Woodbine,Michael Bay Action Adventure Thriller the rock Nicolas Cage Michael Biehn Bokeem Woodbine
529,Carlos Saldanha,Action Adventure Animation Comedy Family Fantasy,ice age: the meltdown,6.9,Denis Leary Ray Romano Jay Leno,Carlos Saldanha Action Adventure Animation Comedy Family Fantasy ice age: the meltdown Denis Leary Ray Romano Jay Leno
530,Peter Segal,Comedy Romance,50 first dates,6.8,Adam Sandler Peter Dante Allen Covert,Peter Segal Comedy Romance 50 first dates Adam Sandler Peter Dante Allen Covert
531,Adam Shankman,Comedy Drama Family Music Musical Romance,hairspray,6.7,Jerry Stiller Elijah Kelley Paul Dooley,Adam Shankman Comedy Drama Family Music Musical Romance hairspray Jerry Stiller Elijah Kelley Paul Dooley
532,Renny Harlin,Horror Mystery Thriller,exorcist: the beginning,5.1,James D'Arcy Alan Ford Izabella Scorupco,Renny Harlin Horror Mystery Thriller exorcist: the beginning James D'Arcy Alan Ford Izabella Scorupco
533,David Kellogg,Action Adventure Comedy Family Sci-Fi,inspector gadget,4.1,Matthew Broderick Rene Auberjonois Rupert Everett,David Kellogg Action Adventure Comedy Family Sci-Fi inspector gadget Matthew Broderick Rene Auberjonois Rupert Everett
534,Louis Leterrier,Crime Mystery Thriller,now you see me,7.3,Morgan Freeman Common Michael Kelly,Louis Leterrier Crime Mystery Thriller now you see me Morgan Freeman Common Michael Kelly
535,Dennis Dugan,Comedy,grown ups,6.0,Steve Buscemi Adam Sandler Salma Hayek,Dennis Dugan Comedy grown ups Steve Buscemi Adam Sandler Salma Hayek
536,Steven Spielberg,Comedy Drama,the terminal,7.3,Tom Hanks Chi McBride Barry Shabaka Henley,Steven Spielberg Comedy Drama the terminal Tom Hanks Chi McBride Barry Shabaka Henley
537,Unknown,Drama Fantasy Horror Thriller,constantine            ,7.5,Harold Perrineau Matt Ryan Charles Halford,Unknown Drama Fantasy Horror Thriller constantine             Harold Perrineau Matt Ryan Charles Halford
538,Thor Freudenthal,Comedy Family,hotel for dogs,5.4,Don Cheadle Kevin Dillon Yvette Nicole Brown,Thor Freudenthal Comedy Family hotel for dogs Don Cheadle Kevin Dillon Yvette Nicole Brown
539,Martin Campbell,Action Adventure Drama Thriller,vertical limit,5.9,Nicholas Lea Scott Glenn Ben Mendelsohn,Martin Campbell Action Adventure Drama Thriller vertical limit Nicholas Lea Scott Glenn Ben Mendelsohn
540,Mike Nichols,Biography Comedy Drama History,charlie wilson's war,7.1,Philip Seymour Hoffman Tom Hanks Jud Tylor,Mike Nichols Biography Comedy Drama History charlie wilson's war Philip Seymour Hoffman Tom Hanks Jud Tylor
541,Bibo Bergeron,Adventure Animation Comedy Family,shark tale,6.0,Robert De Niro Martin Scorsese Angelina Jolie Pitt,Bibo Bergeron Adventure Animation Comedy Family shark tale Robert De Niro Martin Scorsese Angelina Jolie Pitt
542,Bill Condon,Drama Music Musical,dreamgirls,6.5,Loretta Devine Jennifer Hudson Anika Noni Rose,Bill Condon Drama Music Musical dreamgirls Loretta Devine Jennifer Hudson Anika Noni Rose
543,Unknown,Crime Drama Mystery,life            ,8.3,Adam Arkin Brent Sexton Damian Lewis,Unknown Crime Drama Mystery life             Adam Arkin Brent Sexton Damian Lewis
544,F. Gary Gray,Comedy Crime Music,be cool,5.7,Dwayne Johnson Christina Milian Debi Mazar,F. Gary Gray Comedy Crime Music be cool Dwayne Johnson Christina Milian Debi Mazar
545,Steven Spielberg,Drama History Thriller,munich,7.6,Ayelet Zurer Moritz Bleibtreu Mathieu Amalric,Steven Spielberg Drama History Thriller munich Ayelet Zurer Moritz Bleibtreu Mathieu Amalric
546,Antoine Fuqua,Action Drama Thriller War,tears of the sun,6.6,Bruce Willis Tom Skerritt Cole Hauser,Antoine Fuqua Action Drama Thriller War tears of the sun Bruce Willis Tom Skerritt Cole Hauser
547,Robert Luketic,Action Comedy Romance Thriller,killers,5.4,Tom Selleck Lisa Ann Walter Catherine O'Hara,Robert Luketic Action Comedy Romance Thriller killers Tom Selleck Lisa Ann Walter Catherine O'Hara
548,Guy Ritchie,Action Adventure Comedy,the man from u.n.c.l.e.,7.3,Henry Cavill Elizabeth Debicki Christian Berkel,Guy Ritchie Action Adventure Comedy the man from u.n.c.l.e. Henry Cavill Elizabeth Debicki Christian Berkel
549,James L. Brooks,Comedy Drama Romance,spanglish,6.5,Adam Sandler Paz Vega Sarah Steele,James L. Brooks Comedy Drama Romance spanglish Adam Sandler Paz Vega Sarah Steele
550,Gil Kenan,Animation Comedy Family Fantasy Mystery,monster house,6.6,Steve Buscemi Jon Heder Catherine O'Hara,Gil Kenan Animation Comedy Family Fantasy Mystery monster house Steve Buscemi Jon Heder Catherine O'Hara
551,Barry Levinson,Comedy Crime Drama Romance,bandits,6.6,Bruce Willis Brían F. O'Byrne Azura Skye,Barry Levinson Comedy Crime Drama Romance bandits Bruce Willis Brían F. O'Byrne Azura Skye
552,Jerry Zucker,Action Adventure Romance Thriller,first knight,5.9,Julia Ormond Ben Cross John Gielgud,Jerry Zucker Action Adventure Romance Thriller first knight Julia Ormond Ben Cross John Gielgud
553,Andy Tennant,Drama History Romance,anna and the king,6.7,Bai Ling Geoffrey Palmer Randall Duk Kim,Andy Tennant Drama History Romance anna and the king Bai Ling Geoffrey Palmer Randall Duk Kim
554,Tarsem Singh,Action Drama Fantasy Romance,immortals,6.1,Henry Cavill Daniel Sharman Steve Byers,Tarsem Singh Action Drama Fantasy Romance immortals Henry Cavill Daniel Sharman Steve Byers
555,Florent-Emilio Siri,Action Crime Drama Mystery Thriller,hostage,6.6,Jimmy Bennett Bruce Willis Ransford Doherty,Florent-Emilio Siri Action Crime Drama Mystery Thriller hostage Jimmy Bennett Bruce Willis Ransford Doherty
556,Don Bluth,Action Adventure Animation Family Sci-Fi,titan a.e.,6.6,Matt Damon Janeane Garofalo Nathan Lane,Don Bluth Action Adventure Animation Family Sci-Fi titan a.e. Matt Damon Janeane Garofalo Nathan Lane
557,Ron Shelton,Action Comedy Crime Thriller,hollywood homicide,5.3,Harrison Ford Bruce Greenwood Lena Olin,Ron Shelton Action Comedy Crime Thriller hollywood homicide Harrison Ford Bruce Greenwood Lena Olin
558,Paul W.S. Anderson,Action Drama Sci-Fi,soldier,6.0,Connie Nielsen Sean Pertwee Jason Scott Lee,Paul W.S. Anderson Action Drama Sci-Fi soldier Connie Nielsen Sean Pertwee Jason Scott Lee
559,David Pastor,Drama Horror Sci-Fi Thriller,carriers,6.0,Christopher Meloni Kiernan Shipka Lou Taylor Pucci,David Pastor Drama Horror Sci-Fi Thriller carriers Christopher Meloni Kiernan Shipka Lou Taylor Pucci
560,Henry Selick,Animation Comedy Fantasy,monkeybone,4.7,Brendan Fraser Bridget Fonda Megan Mullally,Henry Selick Animation Comedy Fantasy monkeybone Brendan Fraser Bridget Fonda Megan Mullally
561,John Moore,Action Adventure Drama Thriller,flight of the phoenix,6.1,Dennis Quaid Tony Curran Miranda Otto,John Moore Action Adventure Drama Thriller flight of the phoenix Dennis Quaid Tony Curran Miranda Otto
562,M. Night Shyamalan,Drama Mystery Sci-Fi Thriller,unbreakable,7.2,Robin Wright Bruce Willis Michael Kelly,M. Night Shyamalan Drama Mystery Sci-Fi Thriller unbreakable Robin Wright Bruce Willis Michael Kelly
563,Kyle Balda,Action Animation Comedy Family Sci-Fi,minions,6.4,Steve Carell Jon Hamm Steve Coogan,Kyle Balda Action Animation Comedy Family Sci-Fi minions Steve Carell Jon Hamm Steve Coogan
564,Zack Snyder,Action Fantasy,sucker punch,6.1,Jon Hamm Abbie Cornish Scott Glenn,Zack Snyder Action Fantasy sucker punch Jon Hamm Abbie Cornish Scott Glenn
565,Brian De Palma,Crime Mystery Thriller,snake eyes,5.9,Nicolas Cage Mike Starr John Heard,Brian De Palma Crime Mystery Thriller snake eyes Nicolas Cage Mike Starr John Heard
566,Barry Levinson,Drama Mystery Sci-Fi Thriller,sphere,6.0,Peter Coyote James Pickens Jr. Huey Lewis,Barry Levinson Drama Mystery Sci-Fi Thriller sphere Peter Coyote James Pickens Jr. Huey Lewis
